ID,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Data Offset,Reserved,Flags,Window Size,Checksum,Urgent Pointer,next_packages,Session,Label
106,80,34483,63622803,2711828985,8,0,24,7240,11140,0,[16],35,gmail
107,34483,80,2711828985,63622900,8,0,16,8688,33363,0,"[17, 16, 24]",35,gmail
108,443,7223,166768155,2293576122,8,0,24,31856,43853,0,[16],36,gmail
109,7223,443,2293576122,166768916,8,0,16,31856,41035,0,"[17, 16, 24]",36,gmail
110,443,61922,706837110,159714698,8,0,24,65535,40952,0,[16],37,gmail
111,61922,443,159714698,706837510,8,0,16,65535,47735,0,"[17, 16, 24]",37,gmail
112,80,58536,2020556214,282613720,8,0,17,7240,54108,0,"[17, 16]",38,gmail
113,58536,80,282613720,2020556215,8,0,17,8688,46526,0,"[17, 16]",38,gmail
114,80,58536,2020556215,282613721,8,0,16,7240,47063,0,"[17, 16, 24]",38,gmail
115,6934,443,475208289,4256735439,8,0,24,23168,13902,0,[16],39,gmail
116,443,6934,4256735439,475209658,8,0,16,23168,41309,0,"[17, 16, 24]",39,gmail
117,27784,443,2244996046,2040050019,8,0,24,23168,14796,0,[16],40,gmail
118,443,27784,2040050019,2244997415,8,0,16,23168,924,0,"[17, 16, 24]",40,gmail
119,61919,443,2683624741,130128492,8,0,24,23168,264,0,[16],41,gmail
120,443,61919,130128492,2683626110,8,0,16,23168,25089,0,"[17, 16, 24]",41,gmail
121,443,44742,90690125,2228239390,8,0,17,31856,4021,0,"[17, 16]",42,gmail
122,44742,443,2228239390,90690126,8,0,17,31856,62403,0,"[17, 16]",42,gmail
123,443,44742,90690126,2228239391,8,0,16,31856,61423,0,"[17, 16, 24]",42,gmail
124,21241,443,286216777,2091598222,8,0,24,23168,29704,0,[16],43,gmail
125,443,21241,2091598222,286218146,8,0,16,23168,58268,0,"[17, 16, 24]",43,gmail
126,62483,443,355190597,2086339261,8,0,24,23168,44771,0,[16],44,gmail
127,443,62483,2086339261,355191966,8,0,16,23168,35736,0,"[17, 16, 24]",44,gmail
128,80,65109,2030351599,443404704,8,0,17,7240,27072,0,"[17, 16]",45,gmail
129,65109,80,443404704,2030351600,8,0,17,8688,30717,0,"[17, 16]",45,gmail
130,80,65109,2030351600,443404705,8,0,16,7240,29343,0,"[17, 16, 24]",45,gmail
131,80,31940,4213004800,2530638849,8,0,17,7240,52559,0,"[17, 16]",46,gmail
132,31940,80,2530638849,4213004801,8,0,17,8688,15947,0,"[17, 16]",46,gmail
133,80,31940,4213004801,2530638850,8,0,16,7240,16526,0,"[17, 16, 24]",46,gmail
134,443,22633,279540017,227996036,8,0,24,31856,13728,0,[16],47,gmail
135,22633,443,227996036,279540778,8,0,16,31856,12614,0,"[17, 16, 24]",47,gmail
136,443,20438,396549417,2455626675,8,0,24,30408,10927,0,[16],48,gmail
137,20438,443,2455626675,396550340,8,0,16,30408,15597,0,"[17, 16, 24]",48,gmail
138,443,52946,328386499,267589733,8,0,24,31856,15638,0,[16],49,gmail
139,52946,443,267589733,328387260,8,0,16,31856,61881,0,"[17, 16, 24]",49,gmail
140,443,52946,328387260,267589733,8,0,17,31856,32225,0,"[17, 16]",49,gmail
141,52946,443,267589733,328387261,8,0,17,31856,2444,0,"[17, 16]",49,gmail
142,443,52946,328387261,267589734,8,0,16,31856,1910,0,"[17, 16, 24]",49,gmail
143,49346,443,102009859,4147353347,8,0,24,23168,60549,0,[16],50,gmail
144,443,49346,4147353347,102011228,8,0,16,23168,45672,0,"[17, 16, 24]",50,gmail
145,38087,443,2747256577,1329437274,8,0,24,65535,33465,0,[16],51,gmail
146,443,38087,1329437274,2747257982,8,0,16,65535,30549,0,"[17, 16, 24]",51,gmail
147,39140,80,166829917,0,9,0,2,5792,44065,0,[18],52,gmail
148,80,39140,196404175,166829918,9,0,18,5792,27396,0,[16],52,gmail
149,39140,80,166829918,196404176,8,0,16,5792,31515,0,"[17, 16, 24]",52,gmail
150,39140,80,166829918,196404176,8,0,24,5792,58715,0,[16],52,gmail
151,80,39140,196404176,166831146,8,0,16,7240,23177,0,"[17, 16, 24]",52,gmail
152,443,3058,2565662372,324050847,8,0,24,30408,56896,0,[16],53,gmail
153,3058,443,324050847,2565663777,8,0,16,28960,62046,0,"[17, 16, 24]",53,gmail
154,443,44739,2034022707,264021824,8,0,17,23168,61976,0,"[17, 16]",54,gmail
155,44739,443,264021824,2034022708,8,0,17,24616,9820,0,"[17, 16]",54,gmail
156,443,44739,2034022708,264021825,8,0,16,23168,10810,0,"[17, 16, 24]",54,gmail
157,41986,443,204063853,2918387774,8,0,24,65535,22904,0,[16],55,gmail
158,443,41986,2918387774,204064661,8,0,16,65535,32904,0,"[17, 16, 24]",55,gmail
159,443,41986,2918387774,204064661,8,0,24,65535,44425,0,[16],55,gmail
160,41986,443,204064661,2918388174,8,0,16,65535,15209,0,"[17, 16, 24]",55,gmail
161,443,41986,2918388174,204064661,8,0,17,65535,9061,0,"[17, 16]",55,gmail
162,41986,443,204064661,2918388175,8,0,17,65535,3041,0,"[17, 16]",55,gmail
163,443,41986,2918388175,204064662,8,0,16,65535,182,0,"[17, 16, 24]",55,gmail
164,28233,443,115801036,2275343068,8,0,24,27512,57528,0,[16],56,gmail
165,443,28233,2275343068,115801659,8,0,16,30408,63092,0,"[17, 16, 24]",56,gmail
166,443,28833,2465696445,583202079,8,0,17,23168,55661,0,"[17, 16]",57,gmail
167,28833,443,583202079,2465696446,8,0,17,24616,56138,0,"[17, 16]",57,gmail
168,443,28833,2465696446,583202080,8,0,16,23168,56621,0,"[17, 16, 24]",57,gmail
169,42414,443,517188042,665824731,8,0,24,30408,42116,0,[16],58,gmail
170,443,42414,665824731,517189428,8,0,16,31856,39450,0,"[17, 16, 24]",58,gmail
171,443,64232,346449532,2439405631,8,0,17,31856,31489,0,"[17, 16]",59,gmail
172,64232,443,2439405631,346449533,8,0,17,31856,9856,0,"[17, 16]",59,gmail
173,443,64232,346449533,2439405632,8,0,16,31856,9491,0,"[17, 16, 24]",59,gmail
174,80,38731,4248625803,2629020307,8,0,16,7240,285,0,"[17, 16, 24]",60,gmail
175,80,38731,4248627251,2629020307,8,0,24,7240,38464,0,[16],60,gmail
176,38731,80,2629020307,4248627348,8,0,16,8688,33737,0,"[17, 16, 24]",60,gmail
177,443,2276,574084167,2623578648,8,0,17,31856,1708,0,"[17, 16]",61,gmail
178,2276,443,2623578648,574084168,8,0,17,31856,12890,0,"[17, 16]",61,gmail
179,443,2276,574084168,2623578649,8,0,16,31856,12040,0,"[17, 16, 24]",61,gmail
180,80,28996,39839368,2660233360,8,0,16,7240,37958,0,"[17, 16, 24]",62,gmail
181,80,28996,39840816,2660233360,8,0,24,7240,52643,0,[16],62,gmail
182,28996,80,2660233360,39840913,8,0,16,8688,17605,0,"[17, 16, 24]",62,gmail
183,443,63112,247936744,203415151,8,0,24,30408,61351,0,[16],63,gmail
184,63112,443,203415151,247937667,8,0,16,30408,20541,0,"[17, 16, 24]",63,gmail
185,443,1986,120474788,102048008,8,0,24,31856,41844,0,[16],64,gmail
186,1986,443,102048008,120475549,8,0,16,31856,25314,0,"[17, 16, 24]",64,gmail
187,80,28869,4269359798,2609213434,8,0,17,7240,53648,0,"[17, 16]",65,gmail
188,28869,80,2609213434,4269359799,8,0,17,8688,63050,0,"[17, 16]",65,gmail
189,80,28869,4269359799,2609213435,8,0,16,7240,63328,0,"[17, 16, 24]",65,gmail
190,443,40231,3688980611,2753217793,8,0,24,30408,62582,0,[16],66,gmail
191,40231,443,2753217793,3688982016,8,0,16,28960,31655,0,"[17, 16, 24]",66,gmail
192,443,26105,2343758450,158399343,8,0,24,31856,30116,0,[16],67,gmail
193,26105,443,158399343,2343759211,8,0,16,31856,27979,0,"[17, 16, 24]",67,gmail
194,443,4019,2377727177,2339186880,8,0,17,31856,59588,0,"[17, 16]",68,gmail
195,4019,443,2339186880,2377727178,8,0,17,31856,6759,0,"[17, 16]",68,gmail
196,443,4019,2377727178,2339186881,8,0,16,31856,6426,0,"[17, 16, 24]",68,gmail
197,62197,80,2450839906,0,9,0,2,5792,24809,0,[18],69,gmail
198,80,62197,2343708403,2450839907,9,0,18,5792,54091,0,[16],69,gmail
199,62197,80,2450839907,2343708404,8,0,16,5792,58443,0,"[17, 16, 24]",69,gmail
200,62197,80,2450839907,2343708404,8,0,24,5792,17504,0,[16],69,gmail
201,80,62197,2343708404,2450841135,8,0,16,7240,45230,0,"[17, 16, 24]",69,gmail
202,443,16064,4186343511,524403558,8,0,17,23168,64713,0,"[17, 16]",70,gmail
203,16064,443,524403558,4186343512,8,0,17,24616,58430,0,"[17, 16]",70,gmail
204,443,16064,4186343512,524403559,8,0,16,23168,59547,0,"[17, 16, 24]",70,gmail
205,53168,443,2760409851,436996176,8,0,24,23168,24527,0,[16],71,gmail
206,443,53168,436996176,2760411220,8,0,16,23168,38364,0,"[17, 16, 24]",71,gmail
207,443,53168,436996176,2760411220,8,0,24,23168,35931,0,[16],71,gmail
208,53168,443,2760411220,436997390,8,0,16,24616,22347,0,"[17, 16, 24]",71,gmail
209,443,53168,436997390,2760411220,8,0,17,23168,19608,0,"[17, 16]",71,gmail
210,53168,443,2760411220,436997391,8,0,17,24616,12835,0,"[17, 16]",71,gmail
211,443,53168,436997391,2760411221,8,0,16,23168,12248,0,"[17, 16, 24]",71,gmail
212,58885,80,111596660,0,9,0,2,5792,62324,0,[18],72,gmail
213,80,58885,198799125,111596661,9,0,18,5792,43580,0,[16],72,gmail
214,58885,80,111596661,198799126,8,0,16,5792,47679,0,"[17, 16, 24]",72,gmail
215,58885,80,111596661,198799126,8,0,24,5792,11332,0,[16],72,gmail
216,80,58885,198799126,111597889,8,0,16,7240,42250,0,"[17, 16, 24]",72,gmail
217,443,5451,390421832,2459772222,8,0,24,30408,21976,0,[16],73,gmail
218,5451,443,2459772222,390422756,8,0,16,30408,7229,0,"[17, 16, 24]",73,gmail
219,80,18865,42946864,2639218926,8,0,16,7240,28324,0,"[17, 16, 24]",74,gmail
220,80,18865,42948312,2639218926,8,0,24,7240,969,0,[16],74,gmail
221,18865,80,2639218926,42948409,8,0,16,8688,35645,0,"[17, 16, 24]",74,gmail
222,443,24806,2453549376,247821501,8,0,24,30408,47012,0,[16],75,gmail
223,24806,443,247821501,2453550299,8,0,16,30408,12771,0,"[17, 16, 24]",75,gmail
224,80,28583,2227595539,121204453,8,0,16,7240,61804,0,"[17, 16, 24]",76,gmail
225,80,28583,2227596987,121204453,8,0,24,7240,10945,0,[16],76,gmail
226,28583,80,121204453,2227597084,8,0,16,8688,49398,0,"[17, 16, 24]",76,gmail
227,443,1614,3336624832,592222768,8,0,24,30408,39663,0,[16],77,gmail
228,1614,443,592222768,3336625755,8,0,16,30408,11286,0,"[17, 16, 24]",77,gmail
229,443,54883,892475996,2577472008,8,0,17,65535,55543,0,"[17, 16]",78,gmail
230,54883,443,2577472008,892475997,8,0,17,65535,61378,0,"[17, 16]",78,gmail
231,443,54883,892475997,2577472009,8,0,16,65535,59243,0,"[17, 16, 24]",78,gmail
232,443,54010,261159076,214243388,8,0,24,31856,10431,0,[16],79,gmail
233,54010,443,214243388,261159837,8,0,16,31856,28243,0,"[17, 16, 24]",79,gmail
234,32892,80,2228222713,0,9,0,2,5792,34795,0,[18],80,gmail
235,80,32892,2329835746,2228222714,9,0,18,5792,41289,0,[16],80,gmail
236,32892,80,2228222714,2329835747,8,0,16,5792,45610,0,"[17, 16, 24]",80,gmail
237,32892,80,2228222714,2329835747,8,0,24,5792,7696,0,[16],80,gmail
238,80,32892,2329835747,2228223942,8,0,16,7240,37573,0,"[17, 16, 24]",80,gmail
239,15412,443,90585863,2157209701,8,0,24,23168,63585,0,[16],81,gmail
240,443,15412,2157209701,90587232,8,0,16,23168,33137,0,"[17, 16, 24]",81,gmail
241,443,36569,442192401,354638866,8,0,17,31856,45080,0,"[17, 16]",82,gmail
242,36569,443,354638866,442192402,8,0,17,31856,51851,0,"[17, 16]",82,gmail
243,443,36569,442192402,354638867,8,0,16,31856,51364,0,"[17, 16, 24]",82,gmail
244,32170,443,120695133,847116620,8,0,24,65535,21644,0,[16],83,gmail
245,443,32170,847116620,120695317,8,0,16,65535,44590,0,"[17, 16, 24]",83,gmail
246,21430,443,402641670,2048092045,8,0,24,23168,4864,0,[16],84,gmail
247,443,21430,2048092045,402643039,8,0,16,23168,11266,0,"[17, 16, 24]",84,gmail
248,443,12258,2113620466,2280371330,8,0,24,23168,2283,0,[16],85,gmail
249,12258,443,2280371330,2113621680,8,0,16,24616,31189,0,"[17, 16, 24]",85,gmail
250,49355,443,585015478,1030485154,8,0,24,30408,10573,0,[16],86,gmail
251,443,49355,1030485154,585016864,8,0,16,31856,29965,0,"[17, 16, 24]",86,gmail
252,443,54546,2293914230,2270198934,8,0,24,30408,44878,0,[16],87,gmail
253,54546,443,2270198934,2293915635,8,0,16,28960,53166,0,"[17, 16, 24]",87,gmail
254,443,15853,421370877,2297851287,8,0,24,65535,5105,0,[16],88,gmail
255,15853,443,2297851287,421371277,8,0,16,65535,7671,0,"[17, 16, 24]",88,gmail
256,443,1819,90354573,81042184,8,0,24,30408,19876,0,[16],89,gmail
257,1819,443,81042184,90355978,8,0,16,28960,29845,0,"[17, 16, 24]",89,gmail
258,21001,443,2297226728,2323833925,8,0,24,30408,34552,0,[16],90,gmail
259,443,21001,2323833925,2297228114,8,0,16,31856,41900,0,"[17, 16, 24]",90,gmail
260,443,43478,2652229577,408627643,8,0,24,30408,5891,0,[16],91,gmail
261,43478,443,408627643,2652230500,8,0,16,30408,13241,0,"[17, 16, 24]",91,gmail
262,35244,443,561701420,3022626058,8,0,24,65535,62617,0,[16],92,gmail
263,443,35244,3022626058,561702228,8,0,16,65535,22578,0,"[17, 16, 24]",92,gmail
264,443,37578,855428784,2584702577,8,0,24,65535,8184,0,[16],93,gmail
265,37578,443,2584702577,855429184,8,0,16,65535,16426,0,"[17, 16, 24]",93,gmail
266,55327,443,2508387352,454719863,8,0,24,30408,56781,0,[16],94,gmail
267,443,55327,454719863,2508388738,8,0,16,31856,44724,0,"[17, 16, 24]",94,gmail
268,443,11318,4145328248,2488611018,8,0,17,23168,33726,0,"[17, 16]",95,gmail
269,11318,443,2488611018,4145328249,8,0,17,24616,52246,0,"[17, 16]",95,gmail
270,443,11318,4145328249,2488611019,8,0,16,23168,53342,0,"[17, 16, 24]",95,gmail
271,2238,443,2491692350,2861799738,8,0,24,65535,8174,0,[16],96,gmail
272,443,2238,2861799738,2491693158,8,0,16,65535,21926,0,"[17, 16, 24]",96,gmail
273,443,57365,3158935535,2407078021,8,0,24,65535,5710,0,[16],97,gmail
274,57365,443,2407078021,3158936560,8,0,16,65535,46074,0,"[17, 16, 24]",97,gmail
275,443,28068,4251961632,2210820684,8,0,24,23168,16889,0,[16],98,gmail
276,28068,443,2210820684,4251962846,8,0,16,24616,6765,0,"[17, 16, 24]",98,gmail
277,27919,443,2435804252,4137498900,8,0,24,23168,62790,0,[16],99,gmail
278,443,27919,4137498900,2435805621,8,0,16,23168,58608,0,"[17, 16, 24]",99,gmail
279,51151,443,2509011678,2098245117,8,0,24,23168,61342,0,[16],100,gmail
280,443,51151,2098245117,2509013047,8,0,16,23168,12068,0,"[17, 16, 24]",100,gmail
281,5566,3306,3093696714,3218612050,8,0,24,13032,47038,0,[16],101,mysql
282,3306,5566,3218612050,3093696719,8,0,16,13032,33076,0,[24],101,mysql
283,41584,3306,3537480005,3669050891,8,0,24,8688,3871,0,[16],102,mysql
284,3306,41584,3669050891,3537480042,8,0,16,8688,30939,0,[24],102,mysql
285,24303,3306,3368180123,1351569872,8,0,24,10136,24009,0,[16],103,mysql
286,3306,24303,1351569872,3368180137,8,0,16,10136,20546,0,[24],103,mysql
287,59811,3306,3238580318,3369489322,8,0,24,11584,20189,0,[16],104,mysql
288,3306,59811,3369489322,3238580374,8,0,16,11584,35415,0,[24],104,mysql
289,3306,33065,3302742550,1026489355,8,0,24,11584,22905,0,[16],105,mysql
290,33065,3306,1026489355,3302742934,8,0,16,13032,45964,0,[24],105,mysql
291,13375,3306,3516772036,3649183534,8,0,24,8688,30923,0,[16],106,mysql
292,3306,13375,3649183534,3516772073,8,0,16,8688,16730,0,[24],106,mysql
293,46641,3306,3052799328,1031933237,8,0,17,13032,32649,0,"[16, 17]",107,mysql
294,3306,46641,1031933237,3052799329,8,0,17,13032,51981,0,"[16, 17]",107,mysql
295,46641,3306,3052799329,1031933238,8,0,16,13032,51510,0,[24],107,mysql
296,50536,3306,3675354003,0,9,0,2,5792,27609,0,[18],108,mysql
297,3306,50536,3807977330,3675354004,9,0,18,5792,13916,0,[16],108,mysql
298,50536,3306,3675354004,3807977331,8,0,16,5792,19377,0,[24],108,mysql
299,3306,50536,3807977331,3675354004,8,0,24,5792,51528,0,[16],108,mysql
300,50536,3306,3675354004,3807977399,8,0,16,7240,16754,0,[24],108,mysql
301,40117,3306,3370855257,1354460462,8,0,24,10136,40310,0,[16],109,mysql
302,3306,40117,1354460462,3370855271,8,0,16,10136,28515,0,[24],109,mysql
303,11856,3306,3064441264,3195000709,8,0,17,13032,50487,0,"[16, 17]",110,mysql
304,3306,11856,3195000709,3064441265,8,0,17,13032,58745,0,"[16, 17]",110,mysql
305,11856,3306,3064441265,3195000710,8,0,16,13032,58220,0,[24],110,mysql
306,3306,28969,3309566807,3181571201,8,0,24,11584,40004,0,[16],111,mysql
307,28969,3306,3181571201,3309567367,8,0,16,13032,36024,0,[24],111,mysql
308,3306,23234,1163450712,1031820744,8,0,24,11584,64306,0,[16],112,mysql
309,23234,3306,1031820744,1163451272,8,0,16,13032,35655,0,[24],112,mysql
310,21619,3306,3499511593,1483788537,8,0,24,8688,39364,0,[16],113,mysql
311,3306,21619,1483788537,3499511630,8,0,16,8688,13853,0,[24],113,mysql
312,3306,20888,3731397502,3596340268,8,0,24,7240,55939,0,[16],114,mysql
313,20888,3306,3596340268,3731397513,8,0,16,8688,6240,0,[24],114,mysql
314,49689,3306,1090062606,1217632705,8,0,24,11584,65010,0,[16],115,mysql
315,3306,49689,1217632705,1090062662,8,0,16,11584,45473,0,[24],115,mysql
316,33999,3306,1092957183,3373309158,8,0,24,11584,47573,0,[16],116,mysql
317,3306,33999,3373309158,1092957239,8,0,16,11584,55575,0,[24],116,mysql
318,40708,3306,3026988651,1008016464,8,0,17,13032,34717,0,"[16, 17]",117,mysql
319,3306,40708,1008016464,3026988652,8,0,17,13032,24027,0,"[16, 17]",117,mysql
